split,question_id,dlen,abs_dlen,activation_depth40,think_logprob,token_length
test,bb_navigate_t_001,383.0,383.0,1.0,1.0,1.0
test,bb_web_of_lies_t_001,448.0,448.0,1.0,1.0,1.0
test,bb_web_of_lies_t_001,216.0,216.0,1.0,1.0,1.0
test,bb_web_of_lies_t_001,-70.0,70.0,1.0,1.0,0.0
test,bb_web_of_lies_t_001,-968.0,968.0,1.0,1.0,0.0
test,bb_web_of_lies_t_001,520.0,520.0,1.0,1.0,1.0
test,bb_web_of_lies_t_001,288.0,288.0,1.0,1.0,1.0
test,bb_web_of_lies_t_001,2.0,2.0,1.0,0.0,1.0
test,bb_web_of_lies_t_001,-896.0,896.0,1.0,1.0,0.0
test,bb_web_of_lies_t_001,545.0,545.0,1.0,1.0,1.0
test,bb_web_of_lies_t_001,313.0,313.0,1.0,1.0,1.0
test,bb_web_of_lies_t_001,27.0,27.0,1.0,0.0,1.0
test,bb_web_of_lies_t_001,-871.0,871.0,1.0,1.0,0.0
test,bb_web_of_lies_t_001,1629.0,1629.0,1.0,1.0,1.0
test,bb_web_of_lies_t_001,1397.0,1397.0,1.0,1.0,1.0
test,bb_web_of_lies_t_001,1111.0,1111.0,1.0,1.0,1.0
test,bb_web_of_lies_t_001,213.0,213.0,1.0,1.0,1.0
test,bb_web_of_lies_t_002,-269.0,269.0,1.0,0.0,0.0
test,bb_web_of_lies_t_002,-497.0,497.0,1.0,1.0,0.0
test,bb_web_of_lies_t_002,-535.0,535.0,1.0,0.0,0.0
test,bb_web_of_lies_t_002,-996.0,996.0,1.0,0.0,0.0
test,bb_web_of_lies_t_002,-239.0,239.0,1.0,0.0,0.0
test,bb_web_of_lies_t_002,-467.0,467.0,1.0,1.0,0.0
test,bb_web_of_lies_t_002,-505.0,505.0,1.0,1.0,0.0
test,bb_web_of_lies_t_002,-966.0,966.0,1.0,1.0,0.0
test,bb_web_of_lies_t_002,-56.0,56.0,1.0,0.0,0.0
test,bb_web_of_lies_t_002,-284.0,284.0,1.0,1.0,0.0
test,bb_web_of_lies_t_002,-322.0,322.0,1.0,1.0,0.0
test,bb_web_of_lies_t_002,-783.0,783.0,1.0,1.0,0.0
test,bb_web_of_lies_t_002,960.0,960.0,1.0,1.0,1.0
test,bb_web_of_lies_t_002,732.0,732.0,1.0,1.0,1.0
test,bb_web_of_lies_t_002,694.0,694.0,1.0,1.0,1.0
test,bb_web_of_lies_t_002,233.0,233.0,1.0,1.0,1.0
test,bb_date_understanding_t_004,-33.0,33.0,1.0,1.0,0.0
test,bb_snarks_t_000,14.0,14.0,1.0,0.0,1.0
test,bb_snarks_t_000,-506.0,506.0,1.0,0.0,0.0
test,bb_snarks_t_000,102.0,102.0,1.0,1.0,1.0
test,bb_snarks_t_000,-418.0,418.0,1.0,0.0,0.0
test,bb_snarks_t_000,468.0,468.0,1.0,1.0,1.0
test,bb_snarks_t_000,-52.0,52.0,1.0,0.0,0.0
test,bb_date_understanding_t_002,-253.0,253.0,1.0,1.0,0.0
test,bb_tracking_shuffled_objects_five_objects_t_001,166.0,166.0,1.0,1.0,1.0
test,bb_tracking_shuffled_objects_five_objects_t_001,63.0,63.0,1.0,1.0,1.0
test,bb_tracking_shuffled_objects_five_objects_t_001,-43.0,43.0,0.0,1.0,0.0
test,bb_tracking_shuffled_objects_five_objects_t_001,-172.0,172.0,1.0,1.0,0.0
test,bb_tracking_shuffled_objects_five_objects_t_001,222.0,222.0,1.0,1.0,1.0
test,bb_tracking_shuffled_objects_five_objects_t_001,119.0,119.0,1.0,1.0,1.0
test,bb_tracking_shuffled_objects_five_objects_t_001,13.0,13.0,1.0,1.0,1.0
test,bb_tracking_shuffled_objects_five_objects_t_001,-116.0,116.0,1.0,1.0,0.0
test,bb_tracking_shuffled_objects_five_objects_t_001,274.0,274.0,1.0,1.0,1.0
test,bb_tracking_shuffled_objects_five_objects_t_001,171.0,171.0,1.0,1.0,1.0
test,bb_tracking_shuffled_objects_five_objects_t_001,65.0,65.0,1.0,1.0,1.0
test,bb_tracking_shuffled_objects_five_objects_t_001,-64.0,64.0,1.0,1.0,0.0
test,bb_tracking_shuffled_objects_five_objects_t_001,318.0,318.0,1.0,1.0,1.0
test,bb_tracking_shuffled_objects_five_objects_t_001,215.0,215.0,1.0,1.0,1.0
test,bb_tracking_shuffled_objects_five_objects_t_001,109.0,109.0,1.0,1.0,1.0
test,bb_tracking_shuffled_objects_five_objects_t_001,-20.0,20.0,1.0,1.0,0.0
test,bb_temporal_sequences_t_000,-321.0,321.0,1.0,1.0,0.0
test,bb_temporal_sequences_t_003,-109.0,109.0,1.0,1.0,0.0
test,bb_temporal_sequences_t_003,372.0,372.0,1.0,0.0,1.0
test,bb_web_of_lies_t_000,17.0,17.0,1.0,1.0,1.0
test,bb_web_of_lies_t_000,8.0,8.0,1.0,1.0,1.0
test,bb_web_of_lies_t_000,-306.0,306.0,1.0,1.0,0.0
test,bb_web_of_lies_t_000,38.0,38.0,1.0,1.0,1.0
test,bb_web_of_lies_t_000,29.0,29.0,1.0,1.0,1.0
test,bb_web_of_lies_t_000,-285.0,285.0,1.0,0.0,0.0
test,bb_web_of_lies_t_000,164.0,164.0,1.0,1.0,1.0
test,bb_web_of_lies_t_000,155.0,155.0,1.0,1.0,1.0
test,bb_web_of_lies_t_000,-159.0,159.0,1.0,0.0,0.0
test,bb_logical_deduction_five_objects_t_000,163.0,163.0,1.0,1.0,1.0
test,gpqa_chem_t_004,-1696.0,1696.0,1.0,1.0,0.0
test,gpqa_chem_t_004,-1806.0,1806.0,0.0,1.0,0.0
test,gpqa_chem_t_004,-1470.0,1470.0,1.0,1.0,0.0
test,gpqa_chem_t_004,-1580.0,1580.0,0.0,1.0,0.0
test,bb_date_understanding_t_005,1454.0,1454.0,1.0,1.0,1.0
test,bb_date_understanding_t_005,-77.0,77.0,1.0,0.0,0.0
test,bb_date_understanding_t_005,1999.0,1999.0,1.0,0.0,1.0
test,bb_date_understanding_t_005,468.0,468.0,0.0,0.0,1.0
test,bb_date_understanding_t_001,648.0,648.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,426.0,426.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,250.0,250.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,110.0,110.0,1.0,0.0,1.0
test,bb_date_understanding_t_001,-193.0,193.0,1.0,0.0,0.0
test,bb_date_understanding_t_001,-549.0,549.0,1.0,0.0,0.0
test,bb_date_understanding_t_001,-734.0,734.0,1.0,0.0,0.0
test,bb_date_understanding_t_001,757.0,757.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,535.0,535.0,1.0,1.0,1.0
test,bb_date_understanding_t_001,359.0,359.0,1.0,1.0,1.0
