depth,split,filename,question_id,rollout_idx,prefix_idx,label,y,score
8,train,bb_sports_understanding_127_rollout_008_prefix_2.json,bb_sports_understanding_127,8,2,no,0,-9.146829605102539
8,train,bb_sports_understanding_056_rollout_026_prefix_1.json,bb_sports_understanding_056,26,1,no,0,-3.097086191177368
8,train,bb_sports_understanding_221_rollout_006_prefix_0.json,bb_sports_understanding_221,6,0,no,0,-4.467116355895996
8,train,bb_snarks_172_rollout_014_prefix_2.json,bb_snarks_172,14,2,no,0,-7.295373439788818
8,train,bb_navigate_070_rollout_002_prefix_0.json,bb_navigate_070,2,0,no,0,-3.07737135887146
8,train,bb_sports_understanding_204_rollout_012_prefix_2.json,bb_sports_understanding_204,12,2,no,0,-5.360818386077881
8,train,bb_web_of_lies_192_rollout_002_prefix_1.json,bb_web_of_lies_192,2,1,no,0,-9.426271438598633
8,train,bb_navigate_046_rollout_027_prefix_0.json,bb_navigate_046,27,0,no,0,-4.360714435577393
8,train,bb_snarks_158_rollout_025_prefix_2.json,bb_snarks_158,25,2,no,0,-3.470047950744629
8,train,bb_navigate_080_rollout_004_prefix_2.json,bb_navigate_080,4,2,no,0,-3.1261425018310547
8,train,bb_sports_understanding_093_rollout_014_prefix_2.json,bb_sports_understanding_093,14,2,no,0,-3.5236315727233887
8,train,dd_0048_rollout_023_prefix_3.json,dd_0048,23,3,no,0,-4.5492095947265625
8,train,bb_web_of_lies_090_rollout_006_prefix_1.json,bb_web_of_lies_090,6,1,no,0,-6.479484558105469
8,train,bb_sports_understanding_168_rollout_012_prefix_1.json,bb_sports_understanding_168,12,1,no,0,-2.801084518432617
8,train,bb_snarks_124_rollout_012_prefix_2.json,bb_snarks_124,12,2,no,0,-1.0802499055862427
8,train,bb_navigate_058_rollout_002_prefix_1.json,bb_navigate_058,2,1,no,0,-4.105014801025391
8,train,bb_snarks_096_rollout_011_prefix_2.json,bb_snarks_096,11,2,no,0,-4.904288291931152
8,train,bb_web_of_lies_229_rollout_028_prefix_2.json,bb_web_of_lies_229,28,2,no,0,-7.151856422424316
8,train,dd_0100_rollout_002_prefix_2.json,dd_0100,2,2,no,0,-6.124907493591309
8,train,dd_0537_rollout_028_prefix_3.json,dd_0537,28,3,no,0,-6.679817199707031
8,train,bb_reasoning_about_colored_objects_076_rollout_021_prefix_1.json,bb_reasoning_about_colored_objects_076,21,1,no,0,-4.9449639320373535
8,train,bb_snarks_047_rollout_014_prefix_1.json,bb_snarks_047,14,1,no,0,-3.7412796020507812
8,train,dd_0455_rollout_018_prefix_1.json,dd_0455,18,1,no,0,-3.8971242904663086
8,train,dd_0525_rollout_026_prefix_3.json,dd_0525,26,3,no,0,-4.594473361968994
8,train,dd_0935_rollout_026_prefix_1.json,dd_0935,26,1,no,0,-3.5589141845703125
8,train,bb_sports_understanding_168_rollout_026_prefix_1.json,bb_sports_understanding_168,26,1,no,0,-4.466752529144287
8,train,dd_0090_rollout_013_prefix_4.json,dd_0090,13,4,no,0,-4.67691707611084
8,train,dd_1227_rollout_023_prefix_2.json,dd_1227,23,2,no,0,-4.82579231262207
8,train,dd_1013_rollout_008_prefix_5.json,dd_1013,8,5,no,0,-2.431476354598999
8,train,bb_snarks_026_rollout_013_prefix_0.json,bb_snarks_026,13,0,no,0,-3.075295925140381
8,train,dd_0984_rollout_000_prefix_3.json,dd_0984,0,3,no,0,-11.325318336486816
8,train,dd_0125_rollout_001_prefix_3.json,dd_0125,1,3,no,0,-6.0844621658325195
8,train,bb_ruin_names_043_rollout_004_prefix_1.json,bb_ruin_names_043,4,1,no,0,-10.502387046813965
8,train,bb_ruin_names_051_rollout_023_prefix_0.json,bb_ruin_names_051,23,0,no,0,-10.766182899475098
8,train,bb_sports_understanding_238_rollout_010_prefix_1.json,bb_sports_understanding_238,10,1,no,0,-4.111945152282715
8,train,dd_0531_rollout_017_prefix_0.json,dd_0531,17,0,no,0,-3.7921676635742188
8,train,bb_snarks_124_rollout_002_prefix_2.json,bb_snarks_124,2,2,no,0,-2.2415599822998047
8,train,bb_web_of_lies_033_rollout_026_prefix_0.json,bb_web_of_lies_033,26,0,no,0,-5.6457343101501465
8,train,bb_web_of_lies_188_rollout_016_prefix_2.json,bb_web_of_lies_188,16,2,no,0,-6.524377822875977
8,train,dd_0908_rollout_011_prefix_5.json,dd_0908,11,5,no,0,-7.890112400054932
8,train,dd_1270_rollout_026_prefix_1.json,dd_1270,26,1,no,0,-5.556621551513672
8,train,bb_reasoning_about_colored_objects_138_rollout_008_prefix_4.json,bb_reasoning_about_colored_objects_138,8,4,no,0,-3.5516786575317383
8,train,bb_reasoning_about_colored_objects_221_rollout_015_prefix_1.json,bb_reasoning_about_colored_objects_221,15,1,no,0,-6.170813083648682
8,train,bb_ruin_names_006_rollout_008_prefix_2.json,bb_ruin_names_006,8,2,no,0,-3.009131669998169
8,train,dd_0578_rollout_017_prefix_2.json,dd_0578,17,2,no,0,-4.893813133239746
8,train,dd_1115_rollout_014_prefix_2.json,dd_1115,14,2,no,0,-4.045539855957031
8,train,dd_0099_rollout_003_prefix_0.json,dd_0099,3,0,no,0,-4.793489456176758
8,train,dd_1170_rollout_014_prefix_1.json,dd_1170,14,1,no,0,-2.77305006980896
8,train,bb_ruin_names_051_rollout_027_prefix_0.json,bb_ruin_names_051,27,0,no,0,-1.947041392326355
8,train,dd_1283_rollout_025_prefix_2.json,dd_1283,25,2,no,0,-4.754324436187744
8,train,gpqa_chem_108_rollout_019_prefix_3.json,gpqa_chem_108,19,3,no,0,-1.729076623916626
8,train,bb_snarks_014_rollout_018_prefix_0.json,bb_snarks_014,18,0,no,0,-8.448033332824707
8,train,dd_0034_rollout_017_prefix_1.json,dd_0034,17,1,no,0,-4.091712951660156
